playerName,bets,calls,checks,folds,raises,aggression
Zeeryder,0,1,3,0,0,0.5
zaze^,0,2,3,0,0,0.5
geirel,7,1,0,0,7,0.9333
sagerbot2,15,26,15,0,16,0.4306
jwebb,4,6,3,0,3,0.4375
Kurtz,10,53,22,0,51,0.4485
TMX,14,4,14,0,10,0.5714
cardplayr,0,1,3,0,0,0.5
Borgfish,1,14,23,0,1,0.0513
argh,18,36,65,0,13,0.2348
Dr_Devo,10,15,6,0,5,0.4167
k-man,13,16,26,0,15,0.4
meeee,1,0,0,0,2,0.5
Tundra1,2,0,10,0,1,0.2308
rockyiam,110,63,27,0,64,0.6591
jzkbot,151,425,395,0,263,0.3355
darse,8,8,5,0,3,0.4583
satin,3,4,5,0,3,0.4
wsk,211,221,287,0,127,0.3995
tony^,3,1,3,0,2,0.5
Raliegh,1,3,2,0,0,0.5
Slorn,10,20,20,0,1,0.2157
Pike,0,4,5,0,0,0.5
Quetzal,9,10,15,0,9,0.4186
BunnyKill,19,33,62,0,17,0.2748
action,1,1,2,0,1,0.5
jzk,37,64,142,0,46,0.2872
FilaEbola,0,10,11,0,0,0.0
PigeonBoy,5,9,8,0,0,0.2273
nat,0,11,15,0,6,0.1875
goodtone,4,1,2,0,1,0.5
Don,6,13,17,0,2,0.2105
sorjuju,0,1,3,0,0,0.5
Psycho,2,2,4,0,1,0.5
fitzcat,3,6,11,0,4,0.2917
jackdan,14,18,34,0,8,0.2973
itkas,217,3,0,0,470,0.9957
Trapper,2,2,3,0,3,0.5
slj,3,3,10,0,3,0.3158
HoundDog,17,65,108,0,9,0.1307
mariano,0,4,6,0,0,0.0
Cheesy,19,56,57,0,15,0.2313
doc,0,4,6,0,0,0.0
Iceman,0,4,3,0,0,0.5
kman,61,76,152,0,68,0.3613
cardguy,3,0,0,0,1,0.5
jk,5,0,12,0,5,0.4545
d-l,3,11,29,0,0,0.0698
ping,8,9,15,0,5,0.3514
doc_doc,12,6,17,0,9,0.4773
Rose,2,11,12,0,0,0.08
FishBone,49,72,70,0,40,0.3853
Gregarius,11,24,36,0,2,0.1781
mac,0,1,2,0,2,0.5
iota^,10,15,25,0,4,0.2593
Loboc,63,121,221,0,32,0.2174
erb,28,11,17,0,16,0.6111
